walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
2,False,False,2,True,1
2,False,False,2,True,1
6635,True,True,707,False,2
6,True,True,4,False,2
1393,True,True,519,False,3
1,False,False,1,False,3
3752,True,True,860,False,4
716,True,True,356,False,4
2,True,True,2,True,5
240,True,True,166,False,5
1598,True,True,685,False,6
673,True,True,418,False,6
241,True,True,175,False,7
229,True,True,178,False,7
180,True,True,137,False,8
1585,True,True,729,False,8
1448,True,True,686,False,9
3143,True,True,908,False,9
1729,True,True,741,False,10
1051,True,True,597,False,10
1483,True,True,702,False,11
2,True,True,2,True,11
175,True,True,146,False,12
357,True,True,278,False,12
468,True,True,341,False,13
278,True,True,217,False,13
123,True,True,111,False,14
1681,True,True,782,False,14
750,True,True,498,False,15
573,True,True,393,False,15
3660,True,True,953,False,16
658,True,True,459,False,16
113,True,True,101,False,17
1833,True,True,799,False,17
4648,True,True,984,False,18
2234,True,True,857,False,18
1372,True,True,730,False,19
421,True,True,347,False,19
2590,True,True,896,False,20
1547,True,True,755,False,20
