,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
0,2,False,False,2,True,1
1,1,False,False,1,False,1
2,2,False,False,2,True,1
3,2,False,False,2,True,1
4,1,False,False,1,False,1
5,2,False,False,2,True,1
6,1,False,False,1,False,1
7,2,False,False,2,True,1
8,2,False,False,2,True,1
9,1,False,False,1,False,1
10,2,False,False,2,True,1
11,2,False,False,2,True,1
12,1,False,False,1,False,1
13,2,False,False,2,True,1
14,6,False,False,4,True,1
15,1,False,False,1,False,1
16,4,False,False,3,True,1
17,1,False,False,1,False,1
18,2,False,False,2,True,1
19,6,True,False,3,True,1
20,1,False,False,1,False,1
21,1,False,False,1,False,1
22,1,False,False,1,False,1
23,1,False,False,1,False,1
24,2,False,False,2,True,1
25,4,False,False,3,True,1
26,1,False,False,1,False,1
27,1,False,False,1,False,1
28,2,False,False,2,True,1
29,2,False,False,2,True,1
30,1,False,False,1,False,1
31,2,False,False,2,True,1
32,8,False,False,3,True,1
33,6,False,False,4,True,1
34,1,False,False,1,False,1
35,1,False,False,1,False,1
36,2,False,False,2,True,1
37,2,False,False,2,True,1
38,6,False,False,4,False,1
39,1,False,False,1,False,1
40,1,False,False,1,False,1
41,1,False,False,1,False,1
42,1,False,False,1,False,1
43,1,False,False,1,False,1
44,2,True,False,2,True,1
45,16,False,False,7,False,1
46,16,False,False,5,False,1
47,6,True,False,3,True,1
48,6,False,False,3,True,1
49,2,False,False,2,True,1
50,1,False,False,1,False,1
51,2,False,False,2,True,1
52,1,False,False,1,False,1
53,1,False,False,1,False,1
54,2,False,False,2,True,1
55,1,False,False,1,False,1
56,1,False,False,1,False,1
57,1,False,False,1,False,1
58,6,True,True,4,True,1
59,12,False,False,4,False,1
60,1,False,False,1,False,1
61,2,False,False,2,True,1
62,2,False,False,2,True,1
63,2,False,False,2,True,1
64,1,False,False,1,False,1
65,2,False,False,2,True,1
66,1,False,False,1,False,1
67,1,False,False,1,False,1
68,6,False,False,3,True,1
69,1,False,False,1,False,1
70,1,False,False,1,False,1
71,4,False,False,3,True,1
72,2,False,False,2,True,1
73,1,False,False,1,False,1
74,6,True,False,3,True,1
75,1,False,False,1,False,1
76,2,False,False,2,True,1
77,2,False,False,2,True,1
78,4,False,False,3,True,1
79,1,False,False,1,False,1
80,1,False,False,1,False,1
81,1,False,False,1,False,1
82,1,False,False,1,False,1
83,2,False,False,2,True,1
84,2,False,False,2,True,1
