,walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
0,2,False,False,2,True,1
1,2,False,False,2,True,1
2,2,False,False,2,True,1
3,2,False,False,2,True,1
4,2,False,False,2,True,1
5,2,False,False,2,True,1
6,2,False,False,2,True,1
7,2,False,False,2,True,1
8,2,False,False,2,True,1
9,2,False,False,2,True,1
10,2,False,False,2,True,1
11,2,False,False,2,True,1
12,2,False,False,2,True,1
13,2,False,False,2,True,1
14,2,False,False,2,True,1
15,2,False,False,2,True,1
16,2,False,False,2,True,1
17,2,False,False,2,True,1
18,2,False,False,2,True,1
19,2,False,False,2,True,1
20,2,False,False,2,True,1
21,2,False,False,2,True,1
22,2,False,False,2,True,1
23,2,False,False,2,True,1
24,2,False,False,2,True,1
25,2,False,False,2,True,1
26,2,False,False,2,True,1
27,2,False,False,2,True,1
28,2,False,False,2,True,1
29,2,False,False,2,True,1
30,2,False,False,2,True,1
31,2,False,False,2,True,1
32,2,False,False,2,True,1
33,2,False,False,2,True,1
34,2,False,False,2,True,1
35,2,False,False,2,True,1
36,2,False,False,2,True,1
37,2,False,False,2,True,1
38,2,False,False,2,True,1
39,2,False,False,2,True,1
40,2,False,False,2,True,1
41,2,False,False,2,True,1
42,2,False,False,2,True,1
43,2,False,False,2,True,1
44,2,False,False,2,True,1
45,2,False,False,2,True,1
46,2,False,False,2,True,1
47,2,False,False,2,True,1
48,2,False,False,2,True,1
49,2,False,False,2,True,1
50,2,False,False,2,True,1
51,2,False,False,2,True,1
52,2,False,False,2,True,1
53,2,False,False,2,True,1
54,2,False,False,2,True,1
55,2,False,False,2,True,1
56,2,False,False,2,True,1
57,2,False,False,2,True,1
58,2,False,False,2,True,1
59,2,False,False,2,True,1
60,2,False,False,2,True,1
61,2,False,False,2,True,1
62,2,False,False,2,True,1
63,2,False,False,2,True,1
64,2,False,False,2,True,1
65,2,False,False,2,True,1
66,2,False,False,2,True,1
67,2,False,False,2,True,1
68,2,False,False,2,True,1
69,2,False,False,2,True,1
70,2,False,False,2,True,1
71,2,False,False,2,True,1
72,2,False,False,2,True,1
73,2,False,False,2,True,1
74,2,False,False,2,True,1
75,2,False,False,2,True,1
76,2,False,False,2,True,1
77,2,False,False,2,True,1
78,2,False,False,2,True,1
79,2,False,False,2,True,1
80,2,False,False,2,True,1
81,2,False,False,2,True,1
82,2,False,False,2,True,1
83,2,False,False,2,True,1
84,2,False,False,2,True,1
85,2,False,False,2,True,1
86,2,False,False,2,True,1
87,2,False,False,2,True,1
88,2,False,False,2,True,1
89,2,False,False,2,True,1
90,2,False,False,2,True,1
91,2,False,False,2,True,1
92,2,False,False,2,True,1
93,2,False,False,2,True,1
94,2,False,False,2,True,1
95,2,False,False,2,True,1
96,2,False,False,2,True,1
97,2,False,False,2,True,1
98,2,False,False,2,True,1
99,2,False,False,2,True,1
100,2,True,True,2,True,2
101,2,True,True,2,True,2
102,480,True,True,33,False,2
103,4,True,True,3,True,2
104,18,True,True,5,False,2
