walk_length,in_giant_component,started_in_2core,distinct_sites,is_retroceding,c
2,True,False,2,True,1
4,False,False,3,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
4,False,True,3,True,1
2,False,False,2,True,1
4,True,False,3,True,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
18,False,False,8,False,1
2,False,False,2,True,1
1,False,False,1,False,1
8,False,False,3,True,1
88,True,False,10,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
6,False,False,3,True,1
26,False,False,8,False,1
1,False,False,1,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
8,False,False,3,True,1
158,False,False,11,False,1
2,True,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
10,True,False,4,True,1
1,False,False,1,False,1
4,False,False,3,True,1
2,True,False,2,True,1
40,False,False,9,False,1
10,False,False,5,False,1
2,False,False,2,True,1
1,False,False,1,False,1
446,False,False,17,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
6,False,False,3,True,1
20,False,False,7,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
28,False,False,6,False,1
2,False,False,2,True,1
479,False,False,49,False,1
1,False,False,1,False,1
1,False,False,1,False,1
4,False,False,3,True,1
6,False,False,4,False,1
1,False,False,1,False,1
2,False,False,2,True,1
4,False,False,3,True,1
1,False,False,1,False,1
1,False,False,1,False,1
10,False,False,3,True,1
1,False,False,1,False,1
48,False,False,6,False,1
1,False,False,1,False,1
2,False,False,2,True,1
50,False,False,10,False,1
2,False,False,2,True,1
4,True,False,3,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
8,False,False,4,False,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
8,False,False,4,False,1
2,False,False,2,True,1
14,False,False,6,False,1
1,False,False,1,False,1
1,False,False,1,False,1
40,False,False,8,False,1
1,False,False,1,False,1
1,False,False,1,False,1
8,False,False,3,True,1
4,False,False,3,True,1
6,True,False,3,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
4,False,False,3,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,True,False,2,True,1
2,True,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
6,False,False,4,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
16,False,False,6,False,1
2,False,False,2,True,1
24,False,False,4,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
4,True,False,3,True,1
358,False,False,28,False,1
12,False,False,5,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
22,False,False,8,False,1
2,False,False,2,True,1
48,False,False,13,False,1
1,False,False,1,False,1
18,True,False,6,False,1
2,True,False,2,True,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
2,True,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
1,False,False,1,False,1
6,False,False,3,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
52,False,False,7,False,1
2,False,False,2,True,1
2,True,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
4,False,False,3,True,1
34,False,False,7,False,1
4,True,False,3,True,1
1,False,False,1,False,1
2,False,False,2,True,1
4,True,False,3,True,1
1,False,False,1,False,1
1,False,False,1,False,1
42,False,False,6,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
74,False,False,13,False,1
6,False,False,4,True,1
1,False,False,1,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,True,False,2,True,1
4,False,False,3,True,1
8,False,False,3,True,1
1,False,False,1,False,1
64,False,False,12,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
6,False,False,3,True,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
10,False,False,3,True,1
1,False,False,1,False,1
1,False,False,1,False,1
2,False,False,2,True,1
2,False,False,2,True,1
6,False,False,4,False,1
6,False,False,3,True,1
2,False,False,2,True,1
24,False,False,7,False,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
8,True,False,4,False,1
1,False,False,1,False,1
18,False,False,5,False,1
1,False,False,1,False,1
1,False,False,1,False,1
4,False,False,3,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1,False,False,1,False,1
1528,True,False,65,False,1
2,False,False,2,True,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
1,False,False,1,False,1
8,False,False,3,True,1
1,False,False,1,False,1
4,False,False,3,True,1
4,False,False,3,True,1
4,False,False,3,True,1
2,False,False,2,True,1
174,True,False,22,False,1
2,False,False,2,True,1
2,False,False,2,True,1
1,False,False,1,False,1
2,True,False,2,True,1
14,False,False,6,False,1
